ZipCode,Discharges2012-2014,DischargeRates
11201,98,35.9
11203,356,70
11204,36,5.6
11205,132,39
11206,304,40.2
11207,580,70.4
11208,481,57.1
11209,49,12.1
11210,181,35
11211,102,13.7
11212,655,88.2
11213,349,68.3
11214,40,7.2
11215,66,16.7
11216,232,63.7
11217,59,31
11218,77,12.5
11219,55,5.9
11220,129,16.5
11221,470,71.4
11222,8,5.2
11223,60,10.6
11224,101,34.4
11225,199,48.5
11226,532,70.6
11228,20,7.8
11229,47,9.2
11230,59,8.7
11231,57,25.5
11232,50,23.6
11233,419,72.3
11234,162,27
11235,41,9.7
11236,342,50.7
11237,220,53.2
11238,122,42.6
11239,52,65.9
11248,0,0
11251,0,0
10451,462,114.6
10452,556,80.1
10453,556,76.9
10454,473,139
10455,455,122.7
10456,819,100.5
10457,634,95.5
10458,609,88.5
10459,406,89.7
10460,472,89.7
10461,179,57.6
10462,425,72.9
10463,190,41.8
10464,9,39.2
10465,132,50.7
10466,447,85.6
10467,806,102.4
10468,408,65.1
10469,335,72.2
10470,57,58.8
10471,22,17.9
10472,534,94.9
10473,382,81.8
10474,113,89.3
10475,135,53.6
10001,31,46.3
10002,97,23.9
10003,13,10.1
10004,0,0
10005,0,0
10006,0,0
10007,0,0
10009,92,38.1
10010,15,16.2
10011,18,11.5
10012,0,0
10013,11,7.8
10014,9,10.1
10016,31,21.6
10017,6,14.5
10018,0,0
10019,21,17.2
10021,23,11.2
10022,12,10.6
10023,38,11.7
10024,46,14.9
10025,95,21.6
10026,146,62.8
10027,247,72.1
10028,34,15.5
10029,480,92.2
10030,165,87.7
10031,169,47.7
10032,123,34.6
10033,119,36.4
10034,86,33.4
10035,191,77.8
10036,10,15.2
10037,110,105.2
10038,18,22.3
10039,154,78.4
10040,60,22.8
10044,11,16.2
10060,0,0
10065,13,9.6
10075,0,0
10128,58,20.2
10280,0,0
10301,105,39.6
10302,55,36.2
10303,95,41.9
10304,92,29.6
10305,28,10.5
10306,35,10.3
10307,14,13.3
10308,16,9.1
10309,27,11.5
10310,59,29.8
10312,29,7.8
10314,59,10.9
11004,14,20.1
11005,0,0
11101,61,36.9
11102,36,18.1
11103,13,7.3
11104,20,13.6
11105,20,11.7
11106,52,25.2
11109,0,0
11354,55,19.5
11355,64,14
11356,37,22.1
11357,25,11.3
11358,36,17
11359,0,0
11360,12,13.7
11361,30,18.9
11362,11,11.5
11363,9,23.4
11364,24,12.7
11365,33,12.5
11366,12,14.8
11367,75,24.7
11368,233,26.6
11369,61,22.9
11370,37,19.1
11372,84,20.6
11373,119,18.3
11374,32,14.3
11375,54,15.1
11377,111,20.9
11378,43,19.1
11379,48,24
11385,218,31.4
11411,54,51.2
11412,118,51.2
11413,110,43.7
11414,39,27.8
11415,30,25.5
11416,75,39.5
11417,71,34.8
11418,93,35.5
11419,86,26.6
11420,115,36.3
11421,106,38.3
11422,96,44.5
11423,58,30.9
11426,30,26.6
11427,64,46
11428,49,38.8
11429,87,52.5
11430,0,0
11432,123,30.8
11433,143,54.5
11434,182,43.8
11435,133,35.3
11436,63,46.6
11691,172,32.3
11692,58,34.8
11693,31,34.4
11694,16,12.7
11697,0,0